product_id,type,locale,lang_code,name,description
com.ol1n.duolingocards.deck.animals_birds,One-time product,en-US,en,Birds,50 illustrated cards. One purchase unlocks this deck in all 17 languages and both image styles.
com.ol1n.duolingocards.deck.animals_birds,One-time product,cs-CZ,cs,Ptáci,50 ilustrovaných karet. Jeden nákup odemkne deck ve všech 17 jazycích a v obou stylech obrázků.
com.ol1n.duolingocards.deck.animals_birds,One-time product,de-DE,de,Vögel,50 illustrierte Karten. Ein Kauf schaltet dieses Deck in allen 17 Sprachen und beiden Bildstilen frei.
com.ol1n.duolingocards.deck.animals_birds,One-time product,fr-FR,fr,Oiseaux,50 cartes illustrées. Un seul achat débloque ce jeu dans les 17 langues et les deux styles d'images.
com.ol1n.duolingocards.deck.animals_birds,One-time product,es-419,es-419,Aves,50 tarjetas ilustradas. Una compra desbloquea este mazo en los 17 idiomas y en ambos estilos de imagen.
com.ol1n.duolingocards.deck.animals_birds,One-time product,pt-BR,pt-BR,Aves,50 cartões ilustrados. Uma compra libera este baralho nos 17 idiomas e nos dois estilos de imagem.
com.ol1n.duolingocards.deck.animals_birds,One-time product,ru-RU,ru,Птицы,50 карточек с картинками. Одна покупка открывает колоду на всех 17 языках и в обоих стилях.
com.ol1n.duolingocards.deck.animals_birds,One-time product,tr-TR,tr,Kuşlar,50 resimli kart. Tek satın alma bu desteyi 17 dilin tamamında ve her iki görsel stilde açar.
com.ol1n.duolingocards.deck.animals_birds,One-time product,ar,ar,الطيور,50 بطاقة مصورة. عملية شراء واحدة تفتح هذه المجموعة بجميع اللغات الـ17 وبكلا نمطي الصور.
com.ol1n.duolingocards.deck.animals_birds,One-time product,iw-IL,he,עופות,50 כרטיסים מאוירים. רכישה אחת פותחת את החפיסה בכל 17 השפות ובשני סגנונות התמונה.
com.ol1n.duolingocards.deck.animals_birds,One-time product,hi-IN,hi,पक्षी,50 सचित्र कार्ड। एक खरीद इस डेक को सभी 17 भाषाओं और दोनों चित्र शैलियों में खोल देती है।
com.ol1n.duolingocards.deck.animals_birds,One-time product,id,id,Burung-burung,50 kartu bergambar. Satu pembelian membuka dek ini dalam 17 bahasa dan kedua gaya gambar.
com.ol1n.duolingocards.deck.animals_birds,One-time product,ja-JP,ja,鳥類,イラスト付き50枚のカード。1回の購入で17言語すべてと2つの画像スタイルが使えます。
