product_id,type,locale,lang_code,name,description
com.ol1n.duolingocards.deck.animals_birds,One-time product,en-US,en,Birds,50 illustrated cards. One purchase unlocks this deck in all 17 languages and both image styles.
com.ol1n.duolingocards.deck.animals_birds,One-time product,cs-CZ,cs,Ptáci,50 ilustrovaných karet. Jeden nákup odemkne deck ve všech 17 jazycích a v obou stylech obrázků.
com.ol1n.duolingocards.deck.animals_farm,One-time product,en-US,en,Livestock Animals,50 illustrated cards. One purchase unlocks this deck in all 17 languages and both image styles.
com.ol1n.duolingocards.deck.animals_farm,One-time product,cs-CZ,cs,Hospodářská zvířata,50 ilustrovaných karet. Jeden nákup odemkne deck ve všech 17 jazycích a v obou stylech obrázků.
com.ol1n.duolingocards.deck.animals_insects,One-time product,en-US,en,Insects,50 illustrated cards. One purchase unlocks this deck in all 17 languages and both image styles.
com.ol1n.duolingocards.deck.animals_insects,One-time product,cs-CZ,cs,Hmyz,50 ilustrovaných karet. Jeden nákup odemkne deck ve všech 17 jazycích a v obou stylech obrázků.
com.ol1n.duolingocards.deck.animals_reptiles,One-time product,en-US,en,Reptiles and Amphibians,50 illustrated cards. One purchase unlocks this deck in all 17 languages and both image styles.
com.ol1n.duolingocards.deck.animals_reptiles,One-time product,cs-CZ,cs,Plazi a obojživelníci,50 ilustrovaných karet. Jeden nákup odemkne deck ve všech 17 jazycích a v obou stylech obrázků.
com.ol1n.duolingocards.deck.animals_sea,One-time product,en-US,en,Marine Animals,50 illustrated cards. One purchase unlocks this deck in all 17 languages and both image styles.
com.ol1n.duolingocards.deck.animals_sea,One-time product,cs-CZ,cs,Mořská zvířata,50 ilustrovaných karet. Jeden nákup odemkne deck ve všech 17 jazycích a v obou stylech obrázků.
com.ol1n.duolingocards.deck.animals_wild,One-time product,en-US,en,Wild animals,50 illustrated cards. One purchase unlocks this deck in all 17 languages and both image styles.
com.ol1n.duolingocards.deck.animals_wild,One-time product,cs-CZ,cs,Divoká zvířata,50 ilustrovaných karet. Jeden nákup odemkne deck ve všech 17 jazycích a v obou stylech obrázků.
com.ol1n.duolingocards.deck.body_parts,One-time product,en-US,en,Parts of the Body,50 illustrated cards. One purchase unlocks this deck in all 17 languages and both image styles.
com.ol1n.duolingocards.deck.body_parts,One-time product,cs-CZ,cs,Části těla,50 ilustrovaných karet. Jeden nákup odemkne deck ve všech 17 jazycích a v obou stylech obrázků.
com.ol1n.duolingocards.deck.emotions,One-time product,en-US,en,Emotions,50 illustrated cards. One purchase unlocks this deck in all 17 languages and both image styles.
com.ol1n.duolingocards.deck.emotions,One-time product,cs-CZ,cs,Emoce,50 ilustrovaných karet. Jeden nákup odemkne deck ve všech 17 jazycích a v obou stylech obrázků.
com.ol1n.duolingocards.deck.food_fruits,One-time product,en-US,en,Fruit,50 illustrated cards. One purchase unlocks this deck in all 17 languages and both image styles.
com.ol1n.duolingocards.deck.food_fruits,One-time product,cs-CZ,cs,Ovoce,50 ilustrovaných karet. Jeden nákup odemkne deck ve všech 17 jazycích a v obou stylech obrázků.
com.ol1n.duolingocards.deck.food_vegetables,One-time product,en-US,en,Vegetables,50 illustrated cards. One purchase unlocks this deck in all 17 languages and both image styles.
com.ol1n.duolingocards.deck.food_vegetables,One-time product,cs-CZ,cs,Zelenina,50 ilustrovaných karet. Jeden nákup odemkne deck ve všech 17 jazycích a v obou stylech obrázků.
com.ol1n.duolingocards.deck.weather,One-time product,en-US,en,Weather,50 illustrated cards. One purchase unlocks this deck in all 17 languages and both image styles.
com.ol1n.duolingocards.deck.weather,One-time product,cs-CZ,cs,Počasí,50 ilustrovaných karet. Jeden nákup odemkne deck ve všech 17 jazycích a v obou stylech obrázků.
