product_id,reference_name,type,locale,lang_code,display_name,description
com.ol1n.duolingocards.deck.animals_birds,Deck Birds,Non-Consumable,English (U.S.),en,Birds,50 illustrated cards in 17 languages.
com.ol1n.duolingocards.deck.animals_birds,Deck Birds,Non-Consumable,Czech,cs,Ptáci,50 ilustrovaných karet v 17 jazycích.
com.ol1n.duolingocards.deck.animals_birds,Deck Birds,Non-Consumable,German,de,Vögel,50 illustrierte Karten in 17 Sprachen.
com.ol1n.duolingocards.deck.animals_birds,Deck Birds,Non-Consumable,French,fr,Oiseaux,50 cartes illustrées en 17 langues.
com.ol1n.duolingocards.deck.animals_birds,Deck Birds,Non-Consumable,Spanish (Mexico),es-419,Aves,50 tarjetas ilustradas en 17 idiomas.
com.ol1n.duolingocards.deck.animals_birds,Deck Birds,Non-Consumable,Portuguese (Brazil),pt-BR,Aves,50 cartões ilustrados em 17 idiomas.
com.ol1n.duolingocards.deck.animals_birds,Deck Birds,Non-Consumable,Russian,ru,Птицы,50 карточек с картинками на 17 языках.
com.ol1n.duolingocards.deck.animals_birds,Deck Birds,Non-Consumable,Turkish,tr,Kuşlar,17 dilde 50 resimli kart.
com.ol1n.duolingocards.deck.animals_birds,Deck Birds,Non-Consumable,Arabic,ar,الطيور,50 بطاقة مصورة بـ17 لغة.
com.ol1n.duolingocards.deck.animals_birds,Deck Birds,Non-Consumable,Hebrew,he,עופות,50 כרטיסים מאוירים ב-17 שפות.
com.ol1n.duolingocards.deck.animals_birds,Deck Birds,Non-Consumable,Hindi,hi,पक्षी,17 भाषाओं में 50 सचित्र कार्ड।
com.ol1n.duolingocards.deck.animals_birds,Deck Birds,Non-Consumable,Indonesian,id,Burung-burung,50 kartu bergambar dalam 17 bahasa.
com.ol1n.duolingocards.deck.animals_birds,Deck Birds,Non-Consumable,Japanese,ja,鳥類,17言語・イラスト付き50枚のカード。
com.ol1n.duolingocards.deck.animals_birds,Deck Birds,Non-Consumable,Korean,ko,새,17개 언어로 된 그림 카드 50장.
com.ol1n.duolingocards.deck.animals_birds,Deck Birds,Non-Consumable,Vietnamese,vi,Chim chóc,50 thẻ có hình trong 17 ngôn ngữ.
com.ol1n.duolingocards.deck.animals_birds,Deck Birds,Non-Consumable,Chinese (Simplified),zh-CN,鸟类,17种语言的50张图片卡片。
com.ol1n.duolingocards.deck.animals_birds,Deck Birds,Non-Consumable,Greek,el,Πτηνά,50 εικονογραφημένες κάρτες σε 17 γλώσσες.
com.ol1n.duolingocards.deck.animals_farm,Deck Livestock Animals,Non-Consumable,English (U.S.),en,Livestock Animals,50 illustrated cards in 17 languages.
com.ol1n.duolingocards.deck.animals_farm,Deck Livestock Animals,Non-Consumable,Czech,cs,Hospodářská zvířata,50 ilustrovaných karet v 17 jazycích.
com.ol1n.duolingocards.deck.animals_farm,Deck Livestock Animals,Non-Consumable,German,de,Nutztiere,50 illustrierte Karten in 17 Sprachen.
com.ol1n.duolingocards.deck.animals_farm,Deck Livestock Animals,Non-Consumable,French,fr,Animaux d'élevage,50 cartes illustrées en 17 langues.
com.ol1n.duolingocards.deck.animals_farm,Deck Livestock Animals,Non-Consumable,Spanish (Mexico),es-419,Animales de granja,50 tarjetas ilustradas en 17 idiomas.
com.ol1n.duolingocards.deck.animals_farm,Deck Livestock Animals,Non-Consumable,Portuguese (Brazil),pt-BR,Animais de fazenda,50 cartões ilustrados em 17 idiomas.
com.ol1n.duolingocards.deck.animals_farm,Deck Livestock Animals,Non-Consumable,Russian,ru,Хозяйственные животные,50 карточек с картинками на 17 языках.
com.ol1n.duolingocards.deck.animals_farm,Deck Livestock Animals,Non-Consumable,Turkish,tr,Ekonomik Hayvanlar,17 dilde 50 resimli kart.
com.ol1n.duolingocards.deck.animals_farm,Deck Livestock Animals,Non-Consumable,Arabic,ar,الحيوانات الاقتصادية,50 بطاقة مصورة بـ17 لغة.
com.ol1n.duolingocards.deck.animals_farm,Deck Livestock Animals,Non-Consumable,Hebrew,he,חיות תרבות אקזוטיות,50 כרטיסים מאוירים ב-17 שפות.
com.ol1n.duolingocards.deck.animals_farm,Deck Livestock Animals,Non-Consumable,Hindi,hi,अर्थवृद्धि पशु,17 भाषाओं में 50 सचित्र कार्ड।
com.ol1n.duolingocards.deck.animals_farm,Deck Livestock Animals,Non-Consumable,Indonesian,id,Hewan Ternak,50 kartu bergambar dalam 17 bahasa.
com.ol1n.duolingocards.deck.animals_farm,Deck Livestock Animals,Non-Consumable,Japanese,ja,家畜,17言語・イラスト付き50枚のカード。
com.ol1n.duolingocards.deck.animals_farm,Deck Livestock Animals,Non-Consumable,Korean,ko,가축,17개 언어로 된 그림 카드 50장.
